date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,outcome,days_ago,home_team_norm,away_team_norm
1940-03-17,Belgium,Netherlands,7,1,Friendly,Antwerp,Belgium,False,H,0,31506,Belgium,Netherlands
1940-03-24,Brazil,Uruguay,3,4,Copa Rio Branco,Rio de Janeiro,Brazil,False,A,2,31499,Brazil,Uruguay
1940-03-31,Romania,Yugoslavia,3,3,Friendly,Bucharest,Romania,False,D,1,31492,Romania,Yugoslavia
1940-03-31,Netherlands,Luxembourg,4,5,Friendly,Rotterdam,Netherlands,False,A,2,31492,Netherlands,Luxembourg
1940-03-31,Brazil,Uruguay,1,1,Copa Rio Branco,Rio de Janeiro,Brazil,False,D,1,31492,Brazil,Uruguay
1940-03-31,Hungary,Switzerland,3,0,Friendly,Budapest,Hungary,False,H,0,31492,Hungary,Switzerland
1940-04-02,Croatia,Switzerland,4,0,Friendly,Zagreb,Croatia,False,H,0,31490,Croatia,Switzerland
1940-04-07,Germany,Hungary,2,2,Friendly,Berlin,Germany,False,D,1,31485,Germany,Hungary
1940-04-14,Germany,Yugoslavia,1,2,Friendly,Vienna,Germany,False,A,2,31478,Germany,Yugoslavia
1940-04-14,Italy,Romania,2,1,Friendly,Rome,Italy,False,H,0,31478,Italy,Romania
1940-04-21,Netherlands,Belgium,4,2,Friendly,Amsterdam,Netherlands,False,H,0,31471,Netherlands,Belgium
1940-04-21,Switzerland,Croatia,0,1,Friendly,Bern,Switzerland,False,A,2,31471,Switzerland,Croatia
1940-04-27,Israel,Lebanon,5,1,Friendly,Tel Aviv,Mandatory Palestine,False,H,0,31465,Israel,Lebanon
1940-05-02,Hungary,Croatia,1,0,Friendly,Budapest,Hungary,False,H,0,31460,Hungary,Croatia
1940-05-05,Italy,Germany,3,2,Friendly,Milan,Italy,False,H,0,31457,Italy,Germany
1940-05-19,Hungary,Romania,2,0,Friendly,Budapest,Hungary,False,H,0,31443,Hungary,Romania
1940-06-06,Bulgaria,Slovakia,1,4,Friendly,Sofia,Bulgaria,False,A,2,31425,Bulgaria,Slovakia
